2021-05-07 09:51:26 install libsasl2-2:amd64 <none> 2.1.27+dfsg-1+deb10u1
2021-05-07 09:51:26 status half-installed libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1
2021-05-07 09:51:26 status unpacked libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1
2021-05-07 09:51:26 install libldap-common:all <none> 2.4.47+dfsg-3+deb10u6
2021-05-07 09:51:26 status half-installed libldap-common:all 2.4.47+dfsg-3+deb10u6
2021-05-07 09:51:26 status unpacked libldap-common:all 2.4.47+dfsg-3+deb10u6
2021-05-07 09:51:26 install libldap-2.4-2:amd64 <none> 2.4.47+dfsg-3+deb10u6
2021-05-07 09:51:26 status half-installed libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u6
2021-05-07 09:51:26 status unpacked libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u6
2021-05-07 09:51:26 install libnpth0:amd64 <none> 1.6-1
2021-05-07 09:51:26 status half-installed libnpth0:amd64 1.6-1
2021-05-07 09:51:26 status unpacked libnpth0:amd64 1.6-1
2021-05-07 09:51:26 install dirmngr:amd64 <none> 2.2.12-1+deb10u1
2021-05-07 09:51:26 status half-installed dirmngr:amd64 2.2.12-1+deb10u1
2021-05-07 09:51:26 status unpacked dirmngr:amd64 2.2.12-1+deb10u1
2021-05-07 09:51:26 install gnupg-l10n:all <none> 2.2.12-1+deb10u1
2021-05-07 09:51:26 status half-installed gnupg-l10n:all 2.2.12-1+deb10u1
2021-05-07 09:51:26 status unpacked gnupg-l10n:all 2.2.12-1+deb10u1
2021-05-07 09:51:27 install gnupg-utils:amd64 <none> 2.2.12-1+deb10u1
2021-05-07 09:51:27 status half-installed gnupg-utils:amd64 2.2.12-1+deb10u1
2021-05-07 09:51:27 status unpacked gnupg-utils:amd64 2.2.12-1+deb10u1
2021-05-07 09:51:27 install libsqlite3-0:amd64 <none> 3.27.2-3+deb10u1
2021-05-07 09:51:27 status half-installed libsqlite3-0:amd64 3.27.2-3+deb10u1
2021-05-07 09:51:27 status unpacked libsqlite3-0:amd64 3.27.2-3+deb10u1
2021-05-07 09:51:27 install gpg:amd64 <none> 2.2.12-1+deb10u1
2021-05-07 09:51:27 status half-installed gpg:amd64 2.2.12-1+deb10u1
2021-05-07 09:51:27 status unpacked gpg:amd64 2.2.12-1+deb10u1
2021-05-07 09:51:27 install pinentry-curses:amd64 <none> 1.1.0-2
2021-05-07 09:51:27 status half-installed pinentry-curses:amd64 1.1.0-2
2021-05-07 09:51:27 status unpacked pinentry-curses:amd64 1.1.0-2
2021-05-07 09:51:27 install gpg-agent:amd64 <none> 2.2.12-1+deb10u1
2021-05-07 09:51:27 status half-installed gpg-agent:amd64 2.2.12-1+deb10u1
2021-05-07 09:51:27 status unpacked gpg-agent:amd64 2.2.12-1+deb10u1
2021-05-07 09:51:27 install gpg-wks-client:amd64 <none> 2.2.12-1+deb10u1
2021-05-07 09:51:27 status half-installed gpg-wks-client:amd64 2.2.12-1+deb10u1
2021-05-07 09:51:27 status unpacked gpg-wks-client:amd64 2.2.12-1+deb10u1
2021-05-07 09:51:27 install gpg-wks-server:amd64 <none> 2.2.12-1+deb10u1
2021-05-07 09:51:27 status half-installed gpg-wks-server:amd64 2.2.12-1+deb10u1
2021-05-07 09:51:27 status unpacked gpg-wks-server:amd64 2.2.12-1+deb10u1
2021-05-07 09:51:27 install gpgsm:amd64 <none> 2.2.12-1+deb10u1
2021-05-07 09:51:27 status half-installed gpgsm:amd64 2.2.12-1+deb10u1
2021-05-07 09:51:27 status unpacked gpgsm:amd64 2.2.12-1+deb10u1
2021-05-07 09:51:27 install gnupg:all <none> 2.2.12-1+deb10u1
2021-05-07 09:51:27 status half-installed gnupg:all 2.2.12-1+deb10u1
2021-05-07 09:51:27 status unpacked gnupg:all 2.2.12-1+deb10u1
2021-05-07 09:51:27 install libsasl2-modules:amd64 <none> 2.1.27+dfsg-1+deb10u1
2021-05-07 09:51:27 status half-installed libsasl2-modules:amd64 2.1.27+dfsg-1+deb10u1
2021-05-07 09:51:27 status unpacked libsasl2-modules:amd64 2.1.27+dfsg-1+deb10u1
2021-05-07 09:51:28 install publicsuffix:all <none> 20190415.1030-1
2021-05-07 09:51:28 status half-installed publicsuffix:all 20190415.1030-1
2021-05-07 09:51:28 status unpacked publicsuffix:all 20190415.1030-1
2021-05-07 09:51:28 startup packages configure
2021-05-07 09:51:28 configure libksba8:amd64 1.3.5-2 <none>
2021-05-07 09:51:28 status unpacked libksba8:amd64 1.3.5-2
2021-05-07 09:51:28 status half-configured libksba8:amd64 1.3.5-2
2021-05-07 09:51:28 status installed libksba8:amd64 1.3.5-2
2021-05-07 09:51:28 configure lsb-base:all 10.2019051400 <none>
2021-05-07 09:51:28 status unpacked lsb-base:all 10.2019051400
2021-05-07 09:51:28 status half-configured lsb-base:all 10.2019051400
2021-05-07 09:51:28 status installed lsb-base:all 10.2019051400
2021-05-07 09:51:28 configure libpsl5:amd64 0.20.2-2 <none>
2021-05-07 09:51:28 status unpacked libpsl5:amd64 0.20.2-2
2021-05-07 09:51:28 status half-configured libpsl5:amd64 0.20.2-2
